0,1,2,3,4
,"PAY), ON 10-06-2024",,,
11/06/2024,DURUM OCAKBASI RESTAUR (VIA,,£ 20.00,"£ -1,450.34"
,"APPLE PAY), ON 10-06-2024",,,
10/06/2024,"TFL TRAVEL CH (VIA APPLE PAY),",,£ 6.40,"£ -1,430.34"
,ON 09-06-2024,,,
09/06/2024,"TFL TRAVEL CH (VIA APPLE PAY),",,£ 6.40,"£ -1,423.94"
,ON 08-06-2024,,,
09/06/2024,MEDI FOOD CENTRE (VIA APPLE,,£ 3.67,"£ -1,417.54"
,"PAY), ON 08-06-2024",,,
09/06/2024,TRUE CHICKEN LTD (VIA APPLE,,£ 8.49,"£ -1,413.87"
,"PAY), ON 07-06-2024",,,
09/06/2024,,,£ 0.30,"£ -1,405.38"
Date,Description,Money In,Money Out,Balance
,TESCO STORES 2544 (VIA APPLE,,,
,"PAY), ON 08-06-2024",,,
09/06/2024,TESCO STORES 2544 (VIA APPLE,,£ 31.09,"£ -1,405.08"
,"PAY), ON 08-06-2024",,,
09/06/2024,UNCLE TONYS TAVERNA (VIA,,£ 17.20,"£ -1,373.99"
,"APPLE PAY), ON 08-06-2024",,,
09/06/2024,FASTER PAYMENTS RECEIPT,£ 115.00,,"£ -1,356.79"
,REF.WRH CA LIMITED FROM WRH,,,
,CA LIMITED,,,
08/06/2024,TRANSFER FROM MR LEFTERIS,£ 10.00,,"£ -1,471.79"
,GILMAZ,,,
08/06/2024,CARD PAYMENT TO TFL TRAVEL,,£ 1.75,"£ -1,481.79"
,CH ON 07-06-2024,,,
08/06/2024,CARD PAYMENT TO SAINSBURYS,,£ 7.30,"£ -1,480.04"
,S/MKTS ON 07-06-2024,,,
08/06/2024,CARD PAYMENT TO,,£ 229.00,"£ -1,472.74"
,WWW.ARGOS.CO.UK ON,,,
,07-06-2024,,,
08/06/2024,CARD PAYMENT TO SUPERDRUG,,£ 7.48,"£ -1,243.74"
,STORES PLC ON 07-06-2024,,,
08/06/2024,"BESPOKE CAFE (VIA APPLE PAY),",,£ 1.95,"£ -1,236.26"
,ON 07-06-2024,,,
07/06/2024,CARD PAYMENT TO Nanou Donuts,,£ 6.10,"£ -1,234.31"
,ON 07-06-2024,,,
07/06/2024,CARD PAYMENT TO Bespoke cafe,,£ 3.20,"£ -1,228.21"
,ON 07-06-2024,,,
07/06/2024,MEDI FOOD CENTRE (VIA APPLE,,£ 3.94,"£ -1,225.01"
Date,Description,Money In,Money Out,Balance
07/06/2024,"TFL TRAVEL CH (VIA APPLE PAY),",,£ 4.95,"£ -1,221.07"
,ON 06-06-2024,,,
07/06/2024,FASTER PAYMENTS RECEIPT,£ 230.00,,"£ -1,216.12"
,REF.WRH CA LIMITED FROM WRH,,,
,CA LIMITED,,,
07/06/2024,"NANOU DONUTS (VIA APPLE PAY),",,£ 3.60,"£ -1,446.12"
,ON 06-06-2024,,,
07/06/2024,"BESPOKE CAFE (VIA APPLE PAY),",,£ 5.40,"£ -1,442.52"
,ON 06-06-2024,,,
06/06/2024,"TFL TRAVEL CH (VIA APPLE PAY),",,£ 7.60,"£ -1,437.12"
,ON 05-06-2024,,,
06/06/2024,TRUE CHICKEN LTD (VIA APPLE,,£ 1.99,"£ -1,429.52"
,"PAY), ON 04-06-2024",,,
06/06/2024,TRUE CHICKEN LTD (VIA APPLE,,£ 12.08,"£ -1,427.53"
,"PAY), ON 04-06-2024",,,
06/06/2024,TESCO STORES 2544 (VIA APPLE,,£ 4.50,"£ -1,415.45"
,"PAY), ON 05-06-2024",,,
06/06/2024,MEDI FOOD CENTRE (VIA APPLE,,£ 3.67,"£ -1,410.95"
,"PAY), ON 05-06-2024",,,
05/06/2024,"TFL TRAVEL CH (VIA APPLE PAY),",,£ 8.80,"£ -1,407.28"
,ON 04-06-2024,,,
04/06/2024,CARD PAYMENT TO TFL TRAVEL,,£ 13.40,"£ -1,398.48"
,CH ON 02-06-2024,,,
04/06/2024,"TFL TRAVEL CH (VIA APPLE PAY),",,£ 9.90,"£ -1,385.08"
,ON 02-06-2024,,,
04/06/2024,TESCO STORES 2544 (VIA APPLE,,£ 14.79,"£ -1,375.18"
,"PAY), ON 03-06-2024",,,
04/06/2024,,,£ 3.90,"£ -1,360.39"
Date,Description,Money In,Money Out,Balance
,CARD PAYMENT TO Costa Coffee,,,
,ON 03-06-2024,,,
04/06/2024,TESCO STORES 2544 (VIA APPLE,,£ 2.84,"£ -1,356.49"
,"PAY), ON 03-06-2024",,,
04/06/2024,TESCO STORES 2544 (VIA APPLE,,£ 7.00,"£ -1,353.65"
,"PAY), ON 03-06-2024",,,
04/06/2024,CARD PAYMENT TO TESCO,,£ 3.40,"£ -1,346.65"
,STORES 2544 ON 03-06-2024,,,
03/06/2024,CARD PAYMENT TO TESCO,,£ 2.80,"£ -1,343.25"
,STORES ON 02-06-2024,,,
03/06/2024,"TFL TRAVEL CH (VIA APPLE PAY),",,£ 3.20,"£ -1,340.45"
,ON 01-06-2024,,,
03/06/2024,CARD PAYMENT TO UNCLE,,£ 29.20,"£ -1,337.25"
,TONYS TAVERNA ON 02-06-2024,,,
03/06/2024,WITHDRAWAL 500.00 CASH AT,,£ 500.00,"£ -1,308.05"
,FINCHLEY 50 BL,,,
03/06/2024,DIRECT DEBIT PAYMENT TO,,£ 129.15,£ -808.05
,LOWELL PORTFOLIO 1 REF,,,
,"00045598157104, MANDATE NO",,,
,0009,,,
03/06/2024,DIRECT DEBIT PAYMENT TO,,£ 29.68,£ -678.90
,LOWELL PORTFOLIO I REF,,,
,"00041347745604, MANDATE NO",,,
,0008,,,
03/06/2024,DIRECT DEBIT PAYMENT TO,,£ 21.17,£ -649.22
,LOWELL PORTFOLIO 1 REF,,,
,"00038593310604, MANDATE NO",,,
,0007,,,
02/06/2024,"TFL TRAVEL CH (VIA APPLE PAY),",,£ 3.20,£ -628.05
Date,Description,Money In,Money Out,Balance
01/06/2024,"TFL TRAVEL CH (VIA APPLE PAY),",,£ 6.40,£ -624.85
,ON 31-05-2024,,,
01/06/2024,TRUE CHICKEN LTD (VIA APPLE,,£ 12.08,£ -618.45
,"PAY), ON 30-05-2024",,,
01/06/2024,CARD PAYMENT TO PAYPAL,,£ 13.50,£ -606.37
,*UBER EATS ON 29-05-2024,,,
31/05/2024,FASTER PAYMENTS RECEIPT,£ 868.76,,£ -592.87
,REF.WRH CA LIMITED FROM WRH,,,
,CA LIMITED,,,
31/05/2024,DURUM OCAKBASI RESTAUR (VIA,,£ 40.00,"£ -1,461.63"
,"APPLE PAY), ON 30-05-2024",,,
31/05/2024,CARD PAYMENT TO PAYPAL,,£ 6.90,"£ -1,421.63"
,*UBERTRIP ON 29-05-2024,,,
31/05/2024,CARD PAYMENT TO PAYPAL,,£ 5.67,"£ -1,414.73"
,*UBERTRIP ON 29-05-2024,,,
31/05/2024,TRANSFER FROM MR LEFTERIS,£ 48.00,,"£ -1,409.06"
,GILMAZ,,,
30/05/2024,CASH WITHDRAWAL AT Sainsburys,,£ 20.00,"£ -1,457.06"
,"Bank ATM Sainsburys Bank,",,,
,"FINCHLEY,20.00 GBP , ON",,,
,30-05-2024,,,
30/05/2024,TRANSFER FROM MR LEFTERIS,£ 20.00,,"£ -1,437.06"
,GILMAZ,,,
30/05/2024,CASH WITHDRAWAL AT,,£ 140.00,"£ -1,457.06"
,SANTANDER ATM FINCHLEY 50,,,
,"BL, FINCHLEY,140.00 GBP , ON",,,
,30-05-2024,,,
30/05/2024,FASTER PAYMENTS RECEIPT,£ 140.00,,"£ -1,317.06"
Date,Description,Money In,Money Out,Balance
30/05/2024,MEDI FOOD CENTRE (VIA APPLE,,£ 8.71,"£ -1,457.06"
,"PAY), ON 30-05-2024",,,
30/05/2024,TRANSFER FROM MR LEFTERIS,£ 20.00,,"£ -1,448.35"
,GILMAZ,,,
30/05/2024,TESCO STORES 2544 (VIA APPLE,,£ 2.95,"£ -1,468.35"
,"PAY), ON 29-05-2024",,,
30/05/2024,CARD PAYMENT TO MR TRIMMER,,£ 15.00,"£ -1,465.40"
,ON 29-05-2024,,,
29/05/2024,CASH WITHDRAWAL AT TESCO,,£ 10.00,"£ -1,450.40"
,PERSONAL FINANCE ATM TESCO,,,
,"FINCHLEY, FINCHLEY,10.00 GBP ,",,,
,ON 29-0,,,
29/05/2024,CASH WITHDRAWAL AT TESCO,,£ 20.00,"£ -1,440.40"
,PERSONAL FINANCE ATM TESCO,,,
,"FINCHLEY, FINCHLEY,20.00 GBP ,",,,
,ON 29-0,,,
29/05/2024,TRANSFER FROM MR LEFTERIS,£ 85.00,,"£ -1,420.40"
,GILMAZ,,,
29/05/2024,"TFL TRAVEL CH (VIA APPLE PAY),",,£ 6.40,"£ -1,505.40"
,ON 28-05-2024,,,
29/05/2024,MEDI FOOD CENTRE (VIA APPLE,,£ 2.58,"£ -1,499.00"
,"PAY), ON 29-05-2024",,,
29/05/2024,TESCO STORES 2544 (VIA APPLE,,£ 4.35,"£ -1,496.42"
,"PAY), ON 28-05-2024",,,
29/05/2024,TRANSFER TO MR LEFTERIS,,£ 183.40,"£ -1,492.07"
,GILMAZ,,,
28/05/2024,"TFL TRAVEL CH (VIA APPLE PAY),",,£ 6.40,"£ -1,308.67"
,ON 27-05-2024,,,
28/05/2024,,,£ 6.60,"£ -1,302.27"
Date,Description,Money In,Money Out,Balance
,GAILS - SOUTH KENSINGT (VIA,,,
,"APPLE PAY), ON 27-05-2024",,,
28/05/2024,MEDI FOOD CENTRE (VIA APPLE,,£ 1.98,"£ -1,295.67"
,"PAY), ON 27-05-2024",,,
28/05/2024,ARRANGED OVERDRAFT,,£ 10.78,"£ -1,293.69"
,INTEREST,,,
