Date,Description,Money in,Money out
04/09/2023,BILL PAYMENT VIA FASTER £ 10.00,0.0,10.0
05/01/2024,0,6.0,0.0
05/01/2024,BILL PAYMENT VIA FASTER £ 10.00,0.0,10.0
05/04/2024,"TFL TRAVEL CH (VIA APPLE PAY), £ 1.75",0.0,1.75
05/05/2024,CARD PAYMENT TO CHATGPT £ 19.20,0.0,19.2
05/05/2024,"BESPOKE CAFE (VIA APPLE PAY), £ 5.75",0.0,5.75
05/05/2024,TESCO STORES 2544 (VIA APPLE £ 3.06,0.0,3.06
05/05/2024,TESCO STORES 2544 (VIA APPLE £ 17.19,0.0,17.19
05/06/2024,"TFL TRAVEL CH (VIA APPLE PAY), £ 8.80",0.0,8.8
05/08/2023,TRANSFER TO MR LEFTERIS £ 7.00,0.0,7.0
05/08/2023,TRANSFER TO MR LEFTERIS £ 3.00,0.0,3.0
05/08/2023,TRANSFER TO MR LEFTERIS £ 15.00,0.0,15.0
05/08/2023,TRANSFER TO MR LEFTERIS £ 4.00,0.0,4.0
05/08/2023,TRANSFER TO MR LEFTERIS £ 4.00,0.0,4.0
05/08/2023,TRANSFER TO MR LEFTERIS £ 4.00,0.0,4.0
05/09/2023,BILL PAYMENT VIA FASTER £ 4.00,0.0,4.0
05/09/2023,BILL PAYMENT VIA FASTER £ 10.00,0.0,10.0
06/01/2024,BILL PAYMENT VIA FASTER £ 20.00,0.0,20.0
06/01/2024,"TFL TRAVEL CH (VIA APPLE PAY), £ 11.70",0.0,11.7
06/01/2024,TESCO STORES 2544 (VIA APPLE £ 8.65,0.0,8.65
06/01/2024,"MM E&C LTD (VIA APPLE PAY), ON £ 12.80",0.0,12.8
06/01/2024,0,6.0,0.0
06/01/2024,"STARBUCKS (VIA APPLE PAY), ON £ 6.60",0.0,6.6
06/01/2024,0,0.0,10.0
06/05/2024,"TESCO STORES (VIA APPLE PAY), £ 1.45",0.0,1.45
06/05/2024,"TFL TRAVEL CH (VIA APPLE PAY), £ 4.95",0.0,4.95
06/05/2024,MEDI FOOD CENTRE (VIA APPLE £ 3.37,0.0,3.37
06/05/2024,0,50.0,0.0
06/05/2024,BILL PAYMENT VIA FASTER £ 17.50,0.0,17.5
06/06/2024,"TFL TRAVEL CH (VIA APPLE PAY), £ 7.60",0.0,7.6
06/06/2024,TRUE CHICKEN LTD (VIA APPLE £ 1.99,0.0,1.99
06/06/2024,TESCO STORES 2544 (VIA APPLE £ 4.50,0.0,4.5
06/06/2024,TRUE CHICKEN LTD (VIA APPLE £ 12.08,0.0,12.08
06/06/2024,MEDI FOOD CENTRE (VIA APPLE £ 3.67,0.0,3.67
06/08/2023,TRANSFER TO MR LEFTERIS £ 10.00,0.0,10.0
06/08/2023,TRANSFER TO MR LEFTERIS £ 2.00,0.0,2.0
06/08/2023,TRANSFER TO MR LEFTERIS £ 20.00,0.0,20.0
06/08/2023,TRANSFER TO MR LEFTERIS £ 20.00,0.0,20.0
06/09/2023,BILL PAYMENT VIA FASTER £ 20.00,0.0,20.0
07/01/2024,"COSTA COFFEE (VIA APPLE PAY), £ 5.20",0.0,5.2
07/01/2024,TESCO STORES 2544 (VIA APPLE £ 2.85,0.0,2.85
07/01/2024,"COSTA COFFEE (VIA APPLE PAY), £ 3.80",0.0,3.8
07/01/2024,IT S PITA TIME LTD (VIA APPLE £ 9.20,0.0,9.2
07/01/2024,"STARBUCKS (VIA APPLE PAY), ON £ 2.80",0.0,2.8
07/01/2024,"ALDI 776-048 (VIA APPLE PAY), ON £ 4.44",0.0,4.44
07/05/2024,WILTON PATISSERIE (VIA APPLE £ 8.70,0.0,8.7
07/05/2024,TESCO STORES 2544 (VIA APPLE £ 5.40,0.0,5.4
07/05/2024,GOKYUZU RESTAURANT (VIA £ 14.00,0.0,14.0
07/05/2024,"THE JOINERS (VIA APPLE PAY), £ 12.60",0.0,12.6
07/06/2024,CARD PAYMENT TO Bespoke cafe £ 3.20,0.0,3.2
07/06/2024,MEDI FOOD CENTRE (VIA APPLE £ 3.94,0.0,3.94
07/06/2024,"TFL TRAVEL CH (VIA APPLE PAY), £ 4.95",0.0,4.95
07/06/2024,0,230.0,0.0
07/06/2024,"NANOU DONUTS (VIA APPLE PAY), £ 3.60",0.0,3.6
07/06/2024,"BESPOKE CAFE (VIA APPLE PAY), £ 5.40",0.0,5.4
07/06/2024,CARD PAYMENT TO Nanou Donuts £ 6.10,0.0,6.1
07/08/2023,TRANSFER TO MR LEFTERIS £ 13.00,0.0,13.0
07/09/2023,BILL PAYMENT VIA FASTER £ 40.00,0.0,40.0
08/01/2024,MEGA FOOD CENTRE (VIA APPLE £ 3.98,0.0,3.98
08/01/2024,TESCO STORES 2544 (VIA APPLE £ 5.50,0.0,5.5
08/01/2024,"COSTA COFFEE (VIA APPLE PAY), £ 3.80",0.0,3.8
08/02/2024,0,100.0,0.0
08/05/2024,CARD PAYMENT TO THREE ON £ 20.00,0.0,20.0
08/05/2024,TRUE CHICKEN LTD (VIA APPLE £ 11.78,0.0,11.78
08/05/2024,CARD PAYMENT TO Medi Food £ 2.77,0.0,2.77
08/05/2024,"TINTICO (VIA APPLE PAY), ON £ 3.70",0.0,3.7
08/06/2024,"BESPOKE CAFE (VIA APPLE PAY), £ 1.95",0.0,1.95
08/06/2024,TRANSFER TO MR LEFTERIS £ 10.00,0.0,10.0
08/06/2024,CARD PAYMENT TO £ 229.00,0.0,229.0
08/06/2024,CARD PAYMENT TO SAINSBURYS £ 7.30,0.0,7.3
08/06/2024,CARD PAYMENT TO TFL TRAVEL £ 1.75,0.0,1.75
08/06/2024,0,10.0,0.0
08/06/2024,CARD PAYMENT TO SUPERDRUG £ 7.48,0.0,7.48
08/08/2023,TRANSFER TO MR LEFTERIS £ 25.00,0.0,25.0
